Date,P,rH,T,Tsin
2017/07/01,10.67,50.67,11.38549726,-1.449057261
2017/08/01,10.68,50.68,12.55041769,-0.364451726
2017/09/01,10.69,50.69,13.51084566,0.72543929
2017/10/01,10.7,50.7,14.48787442,1.804809583
2017/11/01,10.71,50.71,15.31839772,2.858005526
2017/12/01,10.72,50.72,15.68332729,3.869753086
2018/01/01,10.73,50.73,16.04123588,4.825379339
2018/02/01,10.74,50.74,17.05904918,5.711025262
2018/03/01,10.75,50.75,17.29991874,6.513846727
2018/04/01,10.76,50.76,17.90456185,7.222200771
2018/05/01,10.77,50.77,18.18812842,7.82581445
2018/06/01,10.78,50.78,18.23919741,8.315933824
2018/07/01,10.79,50.79,18.14218863,8.68545091
2018/08/01,10.8,50.8,18.42701512,8.929006765
2018/09/01,10.81,50.81,18.40156672,9.043069208
2018/10/01,10.82,50.82,18.98966612,9.025984042
2018/11/01,10.83,50.83,19.18843083,8.877999045
2018/12/01,10.84,50.84,19.08320358,8.601260378
2019/01/01,10.85,50.85,19.1610626,8.199781458
2019/02/01,10.86,50.86,18.74856402,7.679384756
2019/03/01,10.87,50.87,18.47029162,7.047617354
2019/04/01,10.88,50.88,18.57722763,6.313641492
2019/05/01,10.89,50.89,18.20898581,5.488101698
2019/06/01,10.9,50.9,17.31321513,4.582970406
2019/07/01,10.91,50.91,16.03671354,3.611374333
2019/08/01,10.92,50.92,14.6755158,2.587404105
2019/09/01,10.93,50.93,13.64987827,1.525909906
2019/10/01,10.94,50.94,12.40015228,0.442286115
2019/11/01,10.95,50.95,10.90273895,-0.647751954
2019/12/01,10.96,50.96,9.643549921,-1.728395966
2020/01/01,10.97,50.97,8.898557627,-2.783973819
2020/02/01,10.98,50.98,7.812873537,-3.799176939
2020/03/01,10.99,50.99,6.979960255,-4.759282286
2020/04/01,11,51,6.339791751,-5.65036588
2020/05/01,11.01,51.01,6.45161514,-6.459504731
2020/06/01,11.02,51.02,6.167787206,-7.174964259
2020/07/01,11.03,51.03,5.396933842,-7.786368473
2020/08/01,11.04,51.04,5.212522043,-8.284850449
2020/09/01,11.05,51.05,5.072285849,-8.662933988
2020/10/01,11.06,51.06,4.024033733,-8.915210177
2020/11/01,11.07,51.07,2.455420962,-9.038897746
2020/12/01,11.08,51.08,2.153085671,-9.032212685
2021/01/01,11.09,51.09,2.063507839,-8.895251418
2021/02/01,11.1,51.1,2.313717073,-8.629989405
2021/03/01,11.11,51.11,2.284782338,-8.240252657
2021/04/01,11.12,51.12,2.594660839,-7.731662545
2021/05/01,11.13,51.13,3.459912736,-7.111554723
2021/06/01,11.14,51.14,4.084979067,-6.388873323
2021/07/01,11.15,51.15,4.654148221,-5.574041947
2021/08/01,11.16,51.16,6.292041197,-4.678813323
2021/09/01,11.17,51.17,8.001445492,-3.71609979
2021/10/01,11.18,51.18,9.184279094,-2.699787055
2021/11/01,11.19,51.19,10.17320621,-1.644533916
2021/12/01,11.2,51.2,11.04965982,-0.565560826
2022/01/01,11.21,51.21,11.85264809,0.521569636
2022/02/01,11.22,51.22,12.81414736,1.601177234
2022/03/01,11.23,51.23,13.56001412,2.657690236
2022/04/01,11.24,51.24,14.15775896,3.675870017
2022/05/01,11.25,51.25,15.07994634,4.641030852
2022/06/01,11.26,51.26,16.043325,5.539251733
2022/07/01,11.27,51.27,17.23752027,6.357577163
2022/08/01,11.28,51.28,17.79763791,7.084204018
2022/09/01,11.29,51.29,18.12063947,7.708651787
2022/10/01,11.3,51.3,18.31813468,8.221913743
2022/11/01,11.31,51.31,19.04545354,8.616586846
2022/12/01,11.32,51.32,19.23013511,8.886978526
